TM	PITCHERS	IP	SO vlhp	BB vlhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	DP vlhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	DP v rhp	HO	ENDURANCE	FIELD	BK	WP	BAT-B	STL	SPD
BAA	"Britton,Z*"	67	34	10	8.3	18.3	15	0	0*	4	43	2	1.6	3.6	2.2	0	0*	4	-3	R(1) C(6)	2- 0	0	20	1WL-C	E	10
SLN	"Broxton,J"	61	26	18	7.9	25.9	16.4	2	3	0	26	2	12.3	14.3	23.4	1.8	3	0	7	R(1)	3- 0	0	3	1WR-C	E	10
BOA	"Buchholz,C"	139	10	15	21.5	36.5	31.1	0.4	2	10	13	8	9	17	21.3	4.1	7	9	-1	S(6) R(3)	3-10	0	1	1WL-C	E	10
SDN	"Buchter,R*"	63	41	10	0	10	0	0	0*	4	49	19	1.4	20.4	5.1	1.2	1*	4	-6	R(1) C(0)	2- 0	0	11	1WL-C	E	10
SFN	"Bumgarner,M*"	227	48	2	6.2	8.2	14.6	2	4	5	33	4	12.8	16.8	22.2	1.6	4	3	-2	S(7*)	1- 0	2	3	6WR-D	E	12
BAA	"Bundy,D"	110	19	5	18.3	23.2	31.7	2.4	4	3	33	13	16.3	29.3	26.5	2.8	5	4	6	S(5) R(3)	2-13	0	0	1WS-C	E	10
ARN	"Burgos,E"	41	40	14	13.2	27.2	32.5	3.8	7*	3	22	15	16.5	31.5	26.4	0	0	19	8	R(1) C(0)	4- 0	8	20	1WR-C	E	10
TEA	"Bush,M"	62	44	7	12.5	19.5	17.5	1	1	2	25	3	3.3	6.3	4.3	0	0	2	-3	R(1) C(0)	2- 0	0	7	1WR-C	E	10
CON	"Butler,E"	64	14	9	26	35	42.4	3.4	4	6	10	6	34.8	40.8	62.5	4.3	5	6	0	S(5) R(3)	3-44	0	2	1WR-C	E	10
ATN	"Cabrera,M"	38	10	12	17	29	27.2	0	0	5	29	21	5.8	26.8	5.8	0	0	2	4	R(1) C(4)	3- 0	0	11	1WR-C	E	10
CHN	"Cahill,T"	66	20	12	9.1	21	15.2	1.8	3	7	33	20	6.7	26.7	10.9	1.4	1	7	9	R(2)	3-44	0	9	1WR-B	E	10
SFN	"Cain,M"	89	20	7	31.4	38.4	49.5	2	5	9	15	12	22.3	34.3	42.2	5.6	8	7	4	S(5) R(3)	2-33	0	11	6NR-D	E	13
SEA	"Caminero,A"	61	8	13	20.7	33.7	40	1.2	2	5	23	20	19.1	39.1	29.3	1.4	2	2	1	R(2) C(0)	3- 0	0	6	1WR-D	E	10
CLA	"Carrasco,C"	146	33	6	12.6	18.6	31.3	3.4	5	6	31	1	16.3	17.3	30.4	1.8	3	6	-1	S(6)	2- 0	3	6	1WR-C	E	10
MMN	"Cashner,A"	132	21	15	21	36	43	3	5	10	18	12	18.9	30.9	36.1	1.6	3	11	6	S(5)	3- 0	0	4	2WR-B	E	15
SFN	"Casilla,S"	58	35	3	20.1	23.1	50.7	6.6	8	6	36	11	11.1	22	14.7	0.8	2	9	3	R(1) C(5)	3- 0	13	15	1WR-C	E	10
TOA	"Cecil,B*"	37	39	1	21.8	22.8	29	2.4	3	4	36	5	21	26	37	3.6	6	4	9	R(1)	5- 0	0	0	1WR-C	E	10
TBA	"Cedeno,X*"	41	30	10	8.1	18.1	9.1	0	0	0	33	4	19.9	23.9	27.4	0	1	0	-3	R(1)	2-35	0	16	1WL-C	E	10
MMN	"Cervenka,H*"	43	19	19	8.8	27.8	19.6	1.8	2*	9	37	21	7.9	29	20.6	0	0*	8	9	R(1)	4- 0	0	20	1WL-C	E	10
NYA	"Cessa,L"	70	15	3	13.1	16.1	34	6.3	7	3	10	1	17	18	31.4	3.8	5	3	1	S(6) R(3)	2-20	0	6	1WR-C	E	10
LAA	"Chacin,J"	144	8	9	20.6	29.6	31.6	1.6	3	2	29	10	23.4	33.4	29.1	0	0	3	-2	S(5) R(4)	3- 0	3	12	3WR-D	E	13
CHN	"Chapman,A*"	58	47	26	0	26	0	0	0*	5	65	4	4.4	8.4	7.5	0	0*	3	2	R(1) C(6)	3- 0	7	20	1WL-C	E	10
CON	"Chatwood,T"	158	17	13	16.5	29.5	27.4	1	1	11	12	15	14.8	29.8	23.7	1.2	1	12	-3	S(6)	2-18	0	9	3WR-C	E	13
LAN	"Chavez,J"	67	18	12	27	39	36	2.8	3	2	31	0	17.8	17.8	35.6	4	6	4	0	R(1)	4- 0	0	2	1WR-C	E	10
MMN	"Chen,W*"	123	20	0	27.6	27.6	36.4	0.4	1	6	17	2	22.8	24.8	45	4.8	8	8	-1	S(6)	2- 0	0	1	1WR-D	E	10
CIN	"Cingrani,T*"	63	28	15	10.4	25.4	26.6	1.8	1	2	8	23	14.9	37.9	20.1	0	0	2	-6	R(1) C(4)	3-23	7	10	1WL-C	E	12
SEA	"Cishek,S"	64	45	10	9.7	19.7	25.1	3.6	6*	0	41	6	2.7	8.7	6.9	1	0*	0	1	R(1) C(5)	2-23	0	14	1WR-C	E	10
TEA	"Claudio,A*"	52	29	0	5.8	5.8	8.1	0	0	9	3	4	29.8	33.8	38	0	0	9	-5	R(2)	3- 0	0	0	1WL-C	E	10
SDN	"Clemens,P"	71	27	19	7.1	26	18.7	2.2	3*	11	5	10	21.5	31.5	44.5	5.3	8	9	1	S(5) R(3)	3-20	5	12	1WR-D	E	10
CLA	"Clevinger,M"	53	26	16	5.6	21.5	7.2	0	0	0	21	21	18.4	39.4	42.5	4.3	8*	0	8	S(5) R(3)	4- 0	0	7	1WR-C	E	10
NYA	"Clippard,T"	63	43	4	13.3	17.3	27.3	3.4	6	0	31	18	8.7	26.7	15.9	1.8	2	0	-1	R(1) C(2)	3-23	18	18	1WR-C	E	10
WAN	"Cole,A"	38	31	10	16.4	26.5	37	2.6	4*	0	25	8	14.7	22.7	35.3	5.2	8	0	3	S(5)	5- 0	0	5	1WR-D	E	10
PIN	"Cole,G"	116	29	6	33.4	39.4	50.3	0	0	4	11	6	19.3	25.3	21.9	0	0	5	9	S(6)	1-26	3	9	7NR-D	E	10
LAN	"Coleman,L"	48	10	32	23.5	55.5	48.4	0	0	0	27	11	13.4	24.5	25.5	2.4	3	2	-2	R(1)	3- 0	0	13	1WR-C	E	10
ATN	"Collmenter,J"	41	16	0	15.3	15.3	34.6	3.4	6	12	21	19	9.8	28.8	20.6	3.6	5	12	-1	S(5) R(3)	3- 0	0	0	1WR-C	E	10
TBA	"Colome,A"	57	48	9	4.4	13.4	4.4	0	0	4	44	2	10.8	12.8	19.8	3	5	5	-4	R(1) C(6)	3- 0	0	3	1WR-C	E	10
NYN	"Colon,B"	192	12	1	16.8	17.8	33.6	4	6	11	12	0	20.6	20.6	26.4	0.4	0	11	-4	S(6*)	1-23	0	0	6NR-C	E	12
MMN	"Conley,A*"	133	5	11	29.4	40.4	40	0	0	7	30	13	12.9	25.9	24.6	1.8	4	5	2	S(5)	3-11	0	14	1WL-D	E	10
ARN	"Corbin,P*"	156	35	17	11.9	28.9	25.1	3.2	5	3	10	10	24.5	34.5	39.8	2.4	3	6	-4	S(6) R(3) C(0)	3-10	0	12	5WL-B	E	14
SDN	"Cosart,J"	57	12	28	6.8	34.8	11	1	1	11	4	16	28.3	44.3	33.3	0	0	11	-4	S(5)	2- 0	0	10	1WR-C	E	12
OAA	"Coulombe,D*"	48	42	0	14.8	14.8	19	0	0	4	37	15	5	20	17	4	7*	4	-3	R(2)	3- 0	0	14	1WL-C	E	10
SFN	"Cueto,J"	220	28	2	20.6	22.6	27.9	0	0	5	23	3	14.8	17.8	19.7	0.4	2	5	-4	S(7*)	2-13	2	2	1WR-A	E	13
TEA	"Darvish,Y"	100	50	9	8.1	17	15.2	0.8	1	0	45	6	9.4	15.5	19.5	2.4	4	0	9	S(6)	3- 0	0	13	7NR-D	E	10
MLN	"Davies,Z"	163	18	3	22.7	25.7	37.5	2	2	5	22	4	20.8	24.8	31.4	2	2	5	0	S(6)	3-18	0	3	1WR-B	E	12
KCA	"Davis,W"	43	43	6	9.8	15.8	9.8	0	0	3	28	17	11.6	28.6	14.2	0	0	2	6	R(1) C(6)	3- 0	0	20	1WR-C	E	10
ATN	"De La Cruz,J"	63	4	7	17.8	24.8	34.7	3	5	2	9	12	19.1	31.1	40.2	2.8	5	2	-6	S(5) R(3)	2-23	0	0	2WR-C	E	10
CON	"De La Rosa,J*"	134	17	14	24.9	38.9	39.6	2.6	4	6	14	13	22	35	38.8	3.2	3	7	7	S(5) R(4)	4-33	2	10	3WL-D	E	10
ARN	"De la Rosa,R"	51	16	24	5.1	29.1	11.5	0.8	0*	0	43	0	13.1	13.1	31.4	4.6	7	0	-2	S(5) R(3)	2- 0	7	8	1WR-A	E	13
MNA	"Dean,P*"	67	0	9	23.6	32.6	42.3	2.4	4	12	14	7	28.3	35.3	50	4	6	12	-5	S(5) R(3)	3- 0	0	2	1WL-C	E	10
NYN	"deGrom,J"	148	28	4	11.3	15.3	15	0.4	0	12	30	6	16.3	22.3	26.3	2	2	12	-3	S(6)	2-20	0	6	2WL-B	E	10
ARN	"Delgado,R"	75	18	21	17.9	39	33.3	2	2	0	24	8	17	25	30.8	0.8	1	0	-1	R(2)	4- 0	0	20	1WR-C	E	10
CIN	"DeSclafani,A"	123	26	0	29.6	29.6	47.8	3.6	3	7	14	9	9.8	18.8	14.5	1	1	9	0	S(6)	5- 0	3	11	1WR-D	E	10
MMN	"Despaigne,O"	30	2	12	29	41	36.5	0	0	12	5	20	25.9	45.9	50.9	1.8	2	10	0	R(2)	4- 0	12	0	1WR-C	E	10
OAA	"Detwiler,R*"	49	11	8	16.9	24.9	22.9	1.4	3	9	0	11	30.3	41.3	47.2	0.8	1	9	-3	S(5) R(3)	4- 0	0	13	1WR-B	E	10
HOA	"Devenski,C"	108	36	4	16.4	20.4	27.2	0	0	11	31	1	7.3	8.3	10.9	0	0	12	3	S(5) R(3) C(0)	3- 0	0	4	1WR-C	E	10
SEA	"Diaz,E"	52	51	10	7.9	17.9	15.4	1	1	0	51	1	17.6	18.6	22.4	1.5	1	0	3	R(1) C(5)	3- 0	7	20	1WR-D	E	10
CIN	"Diaz,J"	43	19	10	6.8	16.9	21.1	4.8	6	9	21	15	11.9	27	22	2.8	4	9	4	R(1)	5-51	0	20	1WR-C	E	10
TOA	"Dickey,R"	170	15	13	14.6	27.5	28.8	3.2	6	11	15	9	19.5	28.5	38.3	2.2	3	10	-6	S(6)	1- 8	2	6	1WR-D	E	12
TEA	"Diekman,J*"	53	14	13	10.2	23.2	20.8	0.2	0	6	47	19	2.5	21.5	5.6	0.8	0*	5	-5	R(1) C(3)	3- 0	0	12	1WL-C	E	10
SDN	"Dominguez,J"	36	7	34	13.3	47.3	13.9	0.2	0	11	5	2	14.3	16.3	28.7	3.4	6	9	9	R(2)	4- 0	0	12	1WR-C	E	10
OAA	"Doolittle,S*"	39	51	0	11.3	11.3	25.8	2.6	4*	0	33	4	15.9	19.9	40.5	3.6	8*	0	-2	R(1) C(3)	2- 0	0	5	1WL-C	E	10
MNA	"Duffey,T"	133	27	0	20.6	20.6	32.3	0.8	1	8	12	6	30	36	68	7	8	8	-5	S(5)	5-11	3	14	1WR-B	E	10
KCA	"Duffy,D*"	180	48	0	7.8	7.8	7.8	0	0	6	30	5	16.5	21.5	32.2	3.2	6	6	-5	S(6) R(3)	2-24	0	4	1WL-C	E	10
SLN	"Duke,Z*"	61	34	5	12	17	21.3	0	0	8	36	21	6.2	27.1	7.5	0	0	6	1	R(1) C(1)	2-24	0	14	1WL-C	E	10
OAA	"Dull,R"	74	26	0	5.8	5.8	17.5	3	5*	0	38	0	4.8	4.8	15.2	2.6	4*	0	-3	R(1) C(2)	2-39	0	20	1WR-C	E	10
MMN	"Dunn,M*"	42	20	0	27.3	27.3	36.8	2	4	2	27	13	17.9	30.9	28.6	2.2	5	2	-3	R(1)	3- 0	0	10	1WL-C	E	10
TEA	"Dyson,S"	70	14	14	15	29	16.2	0	0	12	24	5	7.2	12.2	8.4	0	0	12	3	R(1) C(6)	4- 0	0	9	1WR-C	E	10
CHN	"Edwards,C"	36	63	3	0.9	3.8	2.7	0.6	1*	2	53	18	2.5	20.5	10.2	2.5	4*	0	-2	R(1) C(1)	3- 0	0	20	1WR-C	E	13
PHN	"Eflin,Z"	63	0	4	22.9	26.9	56.5	7.3	8	7	10	5	20.1	25.1	40.2	1	1	7	4	S(6)	2-46	0	3	4WR-D	E	10
PHN	"Eickhoff,J"	197	16	3	21.1	24.1	38	3	4	9	30	2	11.8	13.8	22.7	1.8	3	7	0	S(6*)	2- 7	4	6	1WR-D	E	12
MMN	"Ellington,B"	33	11	19	19	38	28.4	0	0	6	41	10	7.3	17.3	11	0	0	8	3	R(1)	3- 0	11	20	1WR-C	E	10
NYA	"Eovaldi,N"	125	19	13	18.9	31.9	41.7	4	5	5	15	3	17.9	20.9	31.1	2.6	3	5	-6	S(5) R(3)	2-11	0	8	1WR-C	E	12
CON	"Estevez,C"	55	26	16	5.7	21.7	8.5	0	0	0	32	13	17.5	30.5	35.3	3.2	5	0	7	R(1) C(3)	3-51	0	11	1WR-C	E	10
TOA	"Estrada,M"	176	26	11	5.3	16.3	12.1	1.6	2	0	27	11	9.9	20.9	23.4	2.4	3	0	1	S(6)	3- 0	0	6	1WR-C	E	10
NYN	"Familia,J"	78	34	2	15.3	17.3	25.5	0	0	10	35	15	6.7	21.7	6.7	0	0	10	4	R(1) C(6)	4- 0	0	8	1WR-C	E	10
TBA	"Farquhar,D"	35	47	3	12.6	15.5	38.8	8.8	8	0	34	17	11.6	28.6	27.1	3.2	6	0	0	R(1)	2-40	0	5	1WR-C	E	12
TOA	"Feldman,S"	77	10	9	32.6	41.6	47.3	1.6	3	4	18	0	19.9	19.9	33.9	1.6	3	4	6	S(5) R(3)	4-19	0	0	1WL-C	E	10
HOA	"Feliz,M"	65	43	10	14.4	24.4	25.1	3	5	0	48	9	8.9	18	15.7	2.3	4	0	4	R(2)	4- 0	0	20	1WR-C	E	10
PIN	"Feliz,N"	54	34	7	7.5	14.5	23.8	4.5	7*	11	42	15	8.2	23.2	23.8	3.8	7*	4	0	R(1) C(1)	3- 0	0	13	1WR-C	E	10
MMN	"Fernandez,J"	182	42	10	16.6	26.6	24.7	0.8	1	3	54	3	11.4	14.4	15.8	0.2	0	3	-2	S(6)	3-16	2	11	4WR-A	E	12
LAN	"Fields,J"	35	25	8	29.6	37.6	51.5	0	0	5	38	2	26.5	28.5	48.7	3.2	6	0	2	R(1)	4- 0	0	0	1WR-C	E	10
LAN	"Fien,C"	39	35	0	18.8	18.8	60.7	9.4	8	4	14	3	25.1	28.1	58.7	10	8	4	-1	R(1)	3- 0	0	5	1WR-C	E	10
HOA	"Fiers,M"	169	20	3	25.1	28.1	38.4	2	2	0	18	5	25.3	30.3	47.5	3.6	5	0	-3	S(5)	1- 8	0	20	1WR-C	E	12
CIN	"Finnegan,B*"	172	12	18	12.3	30.4	17.5	0.4	0	7	22	14	11.8	25.9	26.6	3.8	6	7	2	S(6)	3- 8	4	7	1WL-D	E	10
HOA	"Fister,D"	180	7	10	32.8	42.8	56.4	3.8	6	9	14	7	15.9	22.9	22.1	0	0	8	-3	S(6)	2-16	0	12	1WL-D	E	14
TOA	"Floyd,G"	31	25	8	4.9	12.9	12.7	2.6	5	4	35	2	13.2	15.2	28	1.4	2*	6	5	R(2)	2- 0	0	20	1WR-C	E	10
KCA	"Flynn,B*"	55	18	14	6.7	20.6	13.6	2	4	11	21	15	7.6	22.6	11.8	0.6	1	12	-3	R(2)	2-51	0	20	1WL-C	E	10
ATN	"Foltynewicz,M"	123	26	9	15.4	24.5	33.2	3	5	2	22	3	23	26	36	2.6	4	2	-6	S(6)	2- 0	3	20	2WR-A	E	10
SDN	"Friedrich,C*"	129	22	6	14.4	20.4	28.1	3	5	1	13	12	18.1	30.1	28.9	0.8	0	1	-6	S(5)	2-11	0	11	1WR-D	E	10
DEA	"Fulmer,M"	159	18	7	13.1	20.1	19	0.8	0	11	27	4	14.9	19	27.8	2.4	3	11	-1	S(6)	5- 8	3	0	1WR-D	E	10
BAA	"Gallardo,Y"	118	20	22	17.3	39.3	27.3	2	2	8	7	12	21.8	33.8	38	1.8	3	8	-1	S(5)	3- 0	0	10	3WR-B	E	12
ATN	"Gant,J"	50	26	13	15.1	28.1	31.4	1.4	2	5	27	6	29.8	35.8	52.7	3.4	7	2	1	S(5) R(3)	3- 0	0	17	1WR-A	E	10
SLN	"Garcia,J*"	172	25	1	17.1	18.1	32.2	2.4	4	11	19	8	17.9	25.9	32.5	2.4	5	12	4	S(6) R(4)	3-26	0	10	2WL-A	E	14
TBA	"Garton,R"	39	21	9	28.9	37.9	42.1	2.4	3	5	19	0	19.8	19.8	25.5	1.6	2	5	-2	R(1) C(0)	4-36	0	11	1WR-C	E	10
MLN	"Garza,M"	102	5	12	21.5	33.5	33.4	2.2	2	2	16	4	23.5	27.4	36.3	0.6	0	2	-1	S(5)	4-42	0	5	1WR-B	E	12
BAA	"Gausman,K"	180	29	2	14.6	16.6	24.2	1.8	3	9	26	8	23.3	31.3	35.8	3	5	6	-2	S(6)	3-16	0	9	1WL-C	E	10
SFN	"Gearrin,C"	48	17	17	7.4	24.5	11	0.6	1	12	29	2	18.1	20.1	28.8	0.8	2	12	9	R(1) C(2)	4- 0	0	4	3WR-D	E	10
KCA	"Gee,D"	125	11	9	27.8	36.8	37.3	2.8	6	4	15	2	24.6	26.6	40.3	4.8	8	4	-1	S(5) R(4)	3-35	3	1	1WR-B	E	10
CON	"Germen,G"	41	0	32	24.7	56.7	43.8	0	0	4	33	7	9.4	16.5	23.6	3.2	5	5	-3	R(2) C(0)	3- 0	0	20	1WR-C	E	10
MNA	"Gibson,K"	147	10	9	29.4	38.4	41.9	1.6	3	12	15	9	18.8	27.8	30.8	2.4	3	12	-1	S(6)	3- 0	0	13	1WR-D	E	10
HOA	"Giles,K"	66	48	10	14.1	24.1	19.4	0	0	0	37	11	19	30	43.3	3.2	5	0	4	R(1) C(4)	4- 0	0	20	1WR-C	E	10
BAA	"Givens,M"	75	18	22	25.8	47.8	41.3	1.6	3	3	53	13	2.5	15.6	4.8	0	0	2	7	R(1)	2- 0	0	8	1WR-C	E	10
ARN	"Godley,Z"	75	24	12	20.1	32.2	40	2.6	5	0	11	0	25	25	40.2	3.2	5	1	-1	S(5) R(3)	2-39	0	14	1WR-B	E	10
NYN	"Goeddel,E"	36	30	16	9.1	25.1	19.1	2.6	3	0	23	7	13.8	20.8	31.1	2.4	3	0	-2	R(2)	3-40	0	20	1WR-C	E	10
PHN	"Gomez,J"	69	4	11	23.2	34.2	39.4	2	3	11	18	3	29.4	32.4	33.8	0	0	11	-3	R(1) C(6)	3-21	0	9	1WR-C	E	10
WAN	"Gonzalez,G*"	177	18	6	17.8	23.8	26.3	0	0	6	27	9	18.6	27.6	29.1	1.8	3	7	3	S(6)	4- 8	0	8	2WR-B	E	10
CHA	"Gonzalez,M"	135	16	9	13	22	22.2	1.4	1	6	13	0	22.4	22.4	32	0	0	6	3	S(6)	3- 0	0	4	1WR-C	E	10
PHN	"Gonzalez,S"	35	4	3	25.9	28.9	51.9	5	8	0	45	0	26.8	26.8	51.1	0	0	0	-2	R(2)	3- 0	11	0	1WR-C	E	10
OAA	"Graveman,K"	186	8	7	22	29	34.3	1	2	9	6	0	22.4	22.4	33.3	2.6	4	9	-3	S(6)	3- 0	0	1	1WR-B	E	10
CON	"Gray,J"	168	37	7	14	21	24.1	2.2	2	1	32	12	16.2	28.2	26.3	0.8	1	3	-1	S(6)	4- 8	0	9	2WR-B	E	10
OAA	"Gray,S"	117	20	4	25.5	29.5	38	1	2	5	14	14	19.6	33.5	42.5	3.8	8	5	-2	S(6)	3-12	0	20	1WR-B	E	10
NYA	"Green,C"	46	31	7	22.8	29.8	64.1	11.7	8	3	34	9	19.4	28.4	28.9	2	1	4	2	S(5) R(3) C(0)	3- 0	0	4	1WL-C	E	10
DEA	"Greene,S"	60	24	6	25.8	31.8	40.3	0	0	3	33	14	13.1	27	13.1	0	0	4	3	S(5) R(3) C(1)	3- 0	0	0	1WR-C	E	10
HOA	"Gregerson,L"	58	22	18	9.6	27.5	26.7	2.4	4*	8	61	0	2.9	2.9	6.4	0	0*	7	9	R(1) C(3)	2- 0	0	20	1WL-C	E	10
ARN	"Greinke,Z"	159	24	2	17	19	34	3	4	4	17	7	20.3	27.3	33.2	1.8	3	4	-2	S(6)	1-10	0	0	3WR-C	D	14
