TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
MLN	"Braun,R"	511	9	10	33.7	45.7	52.3	4.6	8	-3	27	16	5	27.9	34.8	45.8	4.4	7	-3	29	*2-5/- (17-12)	B	15	D	B						304			lf-3(-1)e4
HOA	"Bregman,A"	201	27	9	18.3	27.3	32.5	2	3	8	5	30	6	23.1	29.1	46.5	2.8	4	8	5	3/- (20-6)	D	13	D	D			441	234	338	425			3b-2e34 ss-3e38 2b-4e41 lf-4(+1)e25
SFN	"Brown,T"	173	13	4	21.5	26.5	27.9	1.8	4	-10	7	26	4	17.1	22.1	24.9	1.4	3	-10	8	2-6/- (3-1)	E	10	D	C	304			565					"c-3(0)e4,T-4(pb-4) 3b-5e65"
MLN	"Broxton,K"	207	35	27	18.7	45.7	33.5	2.5	4	-4	3	50	21	12.9	34	23.9	2.8	3	-5	2	*2-6/- (19-15)	A	16	C	D							211		cf-2(0)e11
NYN	"Bruce,J*"	539	26	2	15.9	18.9	34.1	3.3	4	2	21	24	5	18.9	24.9	44	6.1	8	2	22	7/- (13-6)	D	12	D	B								307	rf-3(0)e7
CHN	"Bryant,K"	603	20	14	25.9	45.9	55.9	8.3	8	-9	2	25	14	22.9	42.8	41.8	4	6	-10	2	"5,6/- (13-6)"	C	14	D	C		425		320	588	303		403	3b-3e20 lf-3(-1)e3 rf-4e3 1b-4e25 ss-5e88
KCA	"Burns,B+"	311	19	0	26.1	30.1	34.7	0	w	-9	12	0	0	17.9	21.9	22.1	0	w	-9	12	*2-6/- (18-14)	A	17	B	C						204	204	204	cf-2(0)e4 rf-2e4 lf-2e4
KCA	"Butera,D"	123	42	6	20.8	26.8	42.6	0	w	-3	11	34	5	29.4	34.4	50.3	3.2	6	-10	11	-/- (---)	E	9	A	D	314	425							"c-3(0)e14,T-20(pb-0) 1b-4e25"
NYA	"Butler,B"	250	8	8	25.7	33.7	45.6	3.3	w	8	31	13	8	28	36	37.9	0.9	1	8	31	-/- (---)	E	8	D	C		530							1b-5e30
MNA	"Buxton,B"	298	49	14	16.1	32.1	37	0.4	0*	0	1	57	4	14.4	20.4	33.6	2.7	4	0	2	"*4,6/- (19-13)"	B	17	B	D							207		cf-2(-3)e7
CLA	"Byrd,M"	115	34	12	29.6	41.7	46.8	0.8	1	6	5	47	8	16.6	24.6	28.2	3.8	6	6	4	-/- (---)	E	11	D	D						400		400	rf-4(-1)e0 lf-4e0
NYN	"Cabrera,A+"	521	14	5	35.8	43.8	46.4	1.2	1	-11	19	18	3	23.9	29.9	39.3	3.2	6	-11	17	3/- (17-6)	D	12	D	C					308				ss-3e8
DEA	"Cabrera,Mi"	595	22	15	25.7	41.7	39	4.2	8	-8	28	12	11	31	43	53	5.4	8	-8	31	-/- (---)	E	9	D	C		308		521					1b-3e8 3b-5e21
CHA	"Cabrera,Me+"	591	7	2	36.5	38.5	53	1	1	3	27	0	7	29.4	36.4	41.8	0.6	1	3	24	2/- (20-6)	E	11	C	B						403			lf-4(-3)e3
CIN	"Cabrera,R+"	171	20	0	19.1	20.1	24.5	0	w	6	26	12	0	21.6	22.6	33	1.6	0	6	27	"4,6/11 (13-6)"	E	9	C	C	407								"c-4(0)e7,T-8(pb-0)"
KCA	"Cain,L"	397	4	5	38.1	44.1	62.1	2	4	6	27	23	7	23.4	31.4	24.7	0.2	0	6	25	*2-5/- (17-12)	B	16	D	D							105	105	cf-1(-2)e5 rf-1e5
LAA	"Calhoun,K*"	594	16	13	22.7	37.7	36.9	3	5	8	14	15	13	23.2	38.2	35.7	1.3	1	8	14	5/11 (13-4)	E	13	D	B								205	rf-2(-4)e5
SEA	"Cano,R*"	655	10	1	28.9	32.9	44.5	3.6	6	-17	23	7	4	32.6	39.6	59.5	6.8	8	-15	20	5/- (3-1)	E	12	D	C			104						2b-1e4
SLN	"Carpenter,M*"	473	19	19	22	43	37.2	2.5	4	-8	6	20	20	18.5	40.5	41.8	3.3	6	-2	6	"2-6,11/- (3-1)"	E	11	C	C		405	418	327					3b-3e27 1b-4e5 2b-4e18
TOA	"Carrera,E*"	270	21	5	23	31	35.2	0.5	0	5	23	29	12	17.9	32.9	20.9	1	1	5	21	"*2-6,11/- (15-12)"	B	14	A	D						302	402	302	rf-3(+1)e2 lf-3e2 cf-4e2
MLN	"Carter,C"	549	36	19	9.7	30.7	36	8.3	8*	0	22	49	17	11.3	30.3	32.3	5.4	8*	0	11	3/- (15-6)	D	10	D	D		412							1b-4e12
TBA	"Casali,C"	226	49	13	9.9	24.9	24.7	4.2	8	-1	3	44	13	7.1	22.1	14	1.1	1*	0	3	-/- (---)	E	9	C	D	207								"c-2(-1)e7,T-4(pb-2)"
DEA	"Castellanos,N"	411	38	2	13.4	17.4	30.3	2.8	5	1	13	28	7	29.5	38.5	48.1	3	5	1	12	4/12 (13-5)	E	9	D	D				414					3b-4e14
ARN	"Castillo,W"	416	24	10	20.4	32.4	39.6	4.3	8	6	7	37	6	21.5	29.6	29.7	0.8	1	6	9	2/- (20-6)	E	9	D	D	403								"c-4(-2)e3,T-11(pb-2)"
ATN	"Castro,D"	130	12	0	14.6	14.6	14.6	0	w	5	24	13	3	10.3	13.3	10.3	0	w	5	24	2-5/10 (13-6)	E	12	C	C			208	225	224				2b-2e8 ss-2e24 3b-2e25
HOA	"Castro,J*"	329	45	12	4.3	17.4	14.3	2	w*	0	22	49	19	14.4	34.4	27.9	2.4	4	-4	12	5/- (13-6)	E	10	D	D	203	525							"c-2(0)e3,T-5(pb-4) 1b-5e25"
NYA	"Castro,S"	577	17	0	26.6	27.6	41.6	2.1	1	-8	24	19	0	27.4	28.4	39.6	2.7	3	-8	24	2/- (20-6)	D	13	D	C			314		328				2b-3e14 ss-3e28
MNA	"Centeno,J*"	176	22	0	23.1	24.1	27.6	0	w	6	32	19	9	22.6	32.7	35.9	0.8	1	6	30	-/- (---)	E	9	B	C	309								"c-3(+2)e9,T-20(pb-3)"
PIN	"Cervelli,F"	326	1	22	33.7	59.7	33.7	0	w	-6	23	18	23	17	44	23.1	0.8	w	-6	23	6/- (15-6)	C	11	D	C	304	425							"c-3(+1)e4,T-8(pb-3) 1b-4e25"
NYN	"Cespedes,Y"	479	17	21	26.2	50.2	49.3	5.2	8	-7	17	20	7	23.3	33.3	43.8	5.4	8	-8	21	3/- (15-6)	D	13	D	D						207	407		lf-2(-5)e7 cf-4e7
TEA	"Chirinos,R"	147	30	22	8.3	37.3	32.1	7.8	8*	0	15	33	10	13.5	30.5	34.7	3.8	7*	0	19	"2-6,9/- (3-1)"	E	10	C	D	303								"c-3(0)e3,T-1(pb-2)"
CLA	"Chisenhall,L*"	385	20	1	15.5	18.5	27.3	0	w	4	9	13	2	29.3	33.3	44	1	1	4	9	3/- (20-6)	C	13	C	C		425		418			405	305	rf-3(-1)e5 1b-4e25 3b-4e18 cf-4e5
LAA	"Choi,J*"	112	41	12	0	12	0	0	w*	0	18	23	16	5	21	16.8	3.4	5*	0	17	"*2-6,11,12/7-10 (15-4)"	D	12	D	D		309				515			1b-3e9 lf-5(+2)e15
TEA	"Choo,S*"	178	15	20	16.5	44.5	24.8	2.8	5	0	0	28	15	13.3	36.3	22.9	2.3	3	0	0	*3-7/- (15-12)	B	13	D	D								312	rf-3(-1)e12
CHN	"Coghlan,C*"	261	40	9	0.2	11.1	0.2	0	w*	0	13	30	15	6.7	23.7	14.6	0.9	1	7	12	7/- (13-6)	D	13	D	D		424	411	411		400		400	lf-4(0)e0 2b-4e11 3b-4e11 rf-4e0 1b-4e24
DEA	"Collins,T*"	136	32	14	1.5	17.5	1.5	0	w	6	1	31	9	21	32	37.8	2.4	3	6	2	"4,6/10 (13-6)"	E	13	D	D						305	405	305	cf-4(0)e5 lf-3e5 rf-3e5
KCA	"Colon,C"	147	32	5	16.8	24.9	20.4	0.2	1	-4	19	12	8	16.2	27.2	18.6	0	w	-4	18	"2-6,12/- (3-1)"	E	12	D	D			305	316	326				2b-3e5 3b-3e16 ss-3e26
NYN	"Conforto,M*"	304	38	5	0	8	0	0	w*	0	19	33	13	15.4	31.4	33.5	3	5	2	16	"3,4/- (13-6)"	E	12	D	D						407	407	407	lf-4(0)e7 cf-4e7 rf-4e7
TBA	"Conger,H+"	124	27	4	10	14	17.2	0	w	-1	23	42	10	10.7	20.7	16.6	1.3	1	-5	21	-/- (---)	E	9	D	D	404								"c-4(+3)e4,T-7(pb-0)"
CHN	"Contreras,W"	252	18	1	34.5	38.5	53.4	0.9	1	-12	31	31	16	20.4	39.3	33.4	3.6	7	-11	15	"4,6/10 (13-6)"	D	13	D	D	303	416				406			"c-3(-2)e3,T-20(pb-4) lf-4(0)e6 1b-4e16"
HOA	"Correa,C"	577	23	20	13.7	35.7	21	1.6	2	2	15	23	13	25.3	40.3	40	1.6	3	2	16	*6/- (18-6)	B	14	D	C					216				ss-2e16
CIN	"Cozart,Z"	464	16	6	12.8	19.8	30.6	4	7	-1	18	11	7	23.2	31.2	35.7	1.5	2	-3	16	4/- (16-6)	D	13	D	C					114				ss-1e14
SFN	"Crawford,B*"	553	19	6	26	34.1	32.8	0.8	2	8	24	17	8	22.7	32.7	38.5	0.8	2	8	22	3/- (20-6)	C	14	D	C					112				ss-1e12
CLA	"Crisp,C+"	446	10	10	10.3	20.3	16.3	1.2	3	12	11	12	10	15.8	25.8	30.8	1.6	2	12	11	"*2-6,12/- (15-12)"	B	14	C	C						305	305		lf-3(+2)e5 cf-3e5
LAA	"Cron,C"	407	12	2	20.8	26.8	33.8	0.8	0	9	17	14	4	26.5	34.5	44.2	3.5	5	8	16	7/9 (13-4)	D	10	D	C		410							1b-4e10
SEA	"Cruz,N"	589	26	11	25.1	39.1	63	11.5	8	-8	24	29	10	25.2	38.2	41.7	4.2	8	-13	17	2/- (20-6)	E	11	D	D								504	rf-5(-2)e4
KCA	"Cuthbert,C"	475	13	2	34.2	36.2	46.1	0.8	2	-6	25	19	7	22.7	29.7	30.7	0.8	2	-6	20	2/- (20-6)	E	11	D	D				321					3b-3e21
CON	"Dahl,D*"	222	29	4	37.3	41.3	44.2	0	w	-12	15	31	4	33.1	37.1	53.7	2.8	3	-12	12	*4/- (20-6)	B	16	D	D						206	206	206	lf-2(-1)e6 cf-2e6 rf-2e6
ATN	"d'Arnaud,C"	233	13	10	18.6	31.6	35	2.2	w	6	23	19	11	18.3	32.3	26.1	0	w	6	22	*2-5/- (18-13)	B	15	D	C			416	308	410	405	405	405	3b-3e8 ss-4e10 2b-4e16 lf-4(+2)e5 cf-4e5 rf-4e5
NYN	"d'Arnaud,T"	251	27	8	17	28	17	0	w	-12	21	11	6	24.4	33.3	29.3	1	0	-12	22	-/- (---)	E	11	D	C	301								"c-3(+2)e1,T-1(pb-2)"
BAA	"Davis,C*"	566	42	16	11.5	30.6	25.8	3.4	5	-2	12	48	20	9.4	32.3	28.7	6.2	8	-1	6	2/- (20-6)	E	12	D	D		111						403	1b-1e11 rf-4(-1)e3
OAA	"Davis,K"	555	31	11	20.4	34.3	49.3	8.2	8	-6	22	36	6	17.4	26.4	46.8	8.6	8	-4	21	6/9 (13-3)	E	12	D	D						309			lf-3(+3)e9
CLA	"Davis,R"	454	29	8	16.1	26	24.3	1.3	1	1	18	19	6	21.4	29.4	30.5	1	1	1	19	"*2-6,12/- (19-15)"	AA	17	D	D						307	307	307	cf-3(-1)e7 lf-3e7 rf-3e7
NYN	"De Aza,A*"	234	36	11	10.4	26.4	19.2	0	w	3	13	31	11	10.4	26.4	15.4	1.5	2	3	17	*3-7/10 (15-8)	C	14	D	D						306	306	306	cf-3(+1)e6 lf-3e6 rf-3e6
CIN	"De Jesus,I"	221	36	21	13.4	36.4	16.6	0	w	1	16	18	3	24.3	29.3	31.9	1.3	w	1	23	6/- (15-6)	C	13	C	C		428	308	318	407	422			ss-4e7 2b-3e8 3b-3e18 1b-4e28 lf-4(0)e22
CON	"Descalso,D*"	250	29	10	15.9	27	27.4	1.3	2	8	3	18	15	19.4	35.4	29.1	1.8	2	7	2	2/- (20-6)	C	13	C	D		430	314	308	417	425			ss-4e17 1b-4e30 2b-3e14 lf-4(+1)e25 3b-3e8
TEA	"DeShields,D"	182	21	6	12.2	20.1	24.1	3	w	-3	0	43	10	11.8	23.8	16.6	1.1	1	-3	0	*3-6/- (18-13)	B	16	A	D						310	310		cf-3(+2)e10 lf-3e10
TEA	"Desmond,I"	625	17	0	37	39	48.8	3	4	4	21	31	7	22.3	31.3	32.1	1.5	3	4	18	"*4,6/- (18-12)"	A	16	C	D						313	313		cf-3(-3)e13 lf-3e13
SLN	"Diaz,A"	404	5	8	24.7	36.7	34.7	0.8	1	-5	18	5	9	29.2	42.2	50.7	3.4	7	-5	17	"6,7/10 (13-6)"	D	13	C	B			428		325				ss-3e25 2b-4e28
SDN	"Dickerson,A*"	253	5	5	25	33	35	1	1	-2	19	13	10	18.1	31.1	37.3	3.5	6	-2	19	*5/- (19-6)	C	11	D	C						408			lf-4(+1)e8
TBA	"Dickerson,C*"	510	42	0	24.5	25.5	28.3	1.3	1	-13	16	26	2	19.1	22.1	44.8	4.3	8	0	21	4-6/- (3-1)	E	12	D	D						405		405	lf-4(+2)e5 rf-4e5
MMN	"Dietrich,D*"	351	22	0	11.6	25.5	22.4	0	w	0	14	22	8	25.4	47.4	36.3	1	1	-3	11	2/- (20-6)	E	11	D	D		410	410	429		408			2b-4e10 1b-4e10 3b-4e29 lf-4(+2)e8
TOA	"Donaldson,J"	577	8	28	18.9	49.8	36.5	3.4	5	-8	13	15	23	20.3	46.4	40.4	4.4	8	-7	14	3/- (18-6)	C	13	D	D				217					3b-2e17
MNA	"Dozier,B"	615	23	10	22.5	35.5	58.3	7.8	8	-4	18	19	10	19.3	32.3	42.9	5.8	8	-6	17	*6/- (19-11)	A	16	D	B			208						2b-2e8
WAN	"Drew,S*"	143	0	4	9.3	16.3	16.9	0	w	0	16	23	13	20	36	48	5.8	8	4	15	"2-6,11/- (3-1)"	E	11	D	D			330	416	412				2b-3e30 3b-4e16 ss-4e12
ARN	"Drury,B"	461	13	2	26.2	29.2	43.7	3.3	5	-8	26	22	6	27.5	34.5	42.2	1.8	2	-7	24	3/12 (13-5)	E	11	D	D		404	418	319		404		504	lf-4(+1)e4 rf-5e4 3b-3e19 2b-4e18 1b-4e4
NYN	"Duda,L*"	153	29	5	4.4	12.4	13.5	2.5	4*	0	8	23	7	16.5	26.5	30.3	3.2	6	6	8	-/- (---)	E	8	D	D		412							1b-4e12
TBA	"Duffy,M"	333	3	14	22.8	38.8	24.5	0.3	1	-9	26	10	3	24.4	29.4	37.4	2.4	w	-10	30	"*2-6,11/- (15-10)"	A	14	D	B				112	314				3b-1e12 ss-3e14
CIN	"Duvall,A"	552	36	10	14.5	26.5	34.5	4.2	6	0	11	34	6	16.1	24.1	39.8	4.8	8	0	12	"*2-6,12/10 (15-8)"	C	13	D	D		410		437		209		409	lf-2(-2)e9 rf-4e9 1b-4e10 3b-4e37
KCA	"Dyson,J*"	299	0	0	29.1	31.1	43.8	0	w	-1	16	4	8	26.1	36.1	41.2	0.8	w	-1	15	"*2-6,12/- (19-15)"	AA	17	A	B						104	104	104	cf-1(-3)e4 rf-1e4 lf-1e4
CHA	"Eaton,A*"	619	6	14	27.4	46.4	35.3	1	w	-3	6	15	8	27.6	40.6	41.1	1.5	1	-3	7	*7/- (17-6)	B	15	A	C						305	405	105	rf-1(-4)e5 cf-4e5 lf-3e5
OAA	"Eibner,B"	187	22	18	11.6	29.6	26.8	2.2	4*	0	9	35	6	6.4	12.5	15.6	1.5	2	0	11	"2-9,12/- (3-1)"	E	13	D	D						203	303	203	cf-3(-1)e3 rf-2e3 lf-2e3
PHN	"Ellis,A"	171	15	8	14.9	25	18.4	0	w	6	27	9	13	12.2	27.2	17.4	0.4	0	6	26	"4,6/- (13-6)"	D	9	C	B	301								"c-3(0)e1,T-3(pb-1)"
NYA	"Ellsbury,J*"	551	12	4	22.5	27.5	32.6	1.3	w	6	17	4	12	24.5	37.5	31.7	0.8	0	6	15	"*2-5,11,12/- (16-12)"	A	15	C	D							204		cf-2(0)e4
TOA	"Encarnacion,E"	601	20	31	11.1	44.1	30.6	5.4	8	-1	15	19	15	18.6	35.7	40.7	5.4	8	-3	21	2/- (20-6)	E	11	D	C		305							1b-3e5
KCA	"Escobar,A"	637	8	0	20.7	21.7	22.6	0.2	1	4	22	8	0	24.5	25.5	36	1.8	w	4	22	"*4,5/- (18-11)"	A	16	A	B					114				ss-1e14
MNA	"Escobar,E+"	352	26	1	12.2	14.2	15.4	0.2	0	10	16	15	3	21	25	25.2	0	0	10	16	"4,5/9-12 (13-1)"	E	13	D	D			315	308	322	506			ss-3e22 3b-3e8 2b-3e15 lf-5(+1)e6
LAA	"Escobar,Y"	517	3	14	31.4	46.4	54.3	3.2	w	2	28	2	6	32.7	39.7	40.6	1.6	w	2	31	"2-5,12/- (3-1)"	E	10	C	B				425					3b-4e25
WAN	"Espinosa,D+"	516	41	0	9.3	17.3	33.1	7.4	8*	0	8	42	8	10.3	26.3	17.8	2.5	4	-2	6	*6/- (18-6)	C	14	A	C					219				ss-2e19
TEA	"Fielder,P*"	326	25	9	5.7	19.7	10.6	1.1	1	9	23	10	10	12.8	27.8	21.4	1.1	1	9	25	-/- (---)	E	8	D	C		530							1b-5e30
