TM	PITCHERS	IP	SO vlhp	BB vlhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	DP vlhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	DP v rhp	HO	ENDURANCE	FIELD	BK	WP	BAT-B	STL	SPD
LAA	"Chavez,J"	138	23	2	22.1	24.1	36	2.8	5	9	18	11	20.4	31.4	39.9	4.3	8	9	-1	S(6) R(3)	3- 0	0	1	1WR-B	E	10
MMN	"Chen,W*"	33	4	4	14.4	18.4	22.4	0	0	0	18	7	9.2	16.2	23	1.8	4	0	-2	S(5) R(3)	2- 0	0	6	1WR-C	E	10
LAN	"Cingrani,T*"	43	43	0	17.6	17.6	51.9	10	8	0	35	13	14.7	27.7	30.4	2.6	5	0	-4	R(1)	3- 0	0	20	1WL-C	E	10
TBA	"Cishek,S"	45	22	10	10.3	20.3	10.3	0	0	12	32	7	0.4	7.4	0.4	0	0*	12	-3	R(1) C(0)	3-51	10	16	1WR-C	E	10
TEA	"Claudio,A*"	83	26	0	0.4	0.4	0.4	0	0*	12	10	0	20.8	20.8	24.6	0	0	12	-6	R(2) C(4)	2- 0	16	0	1WL-C	E	10
CLA	"Clevinger,M"	122	33	14	14.9	28.9	32.4	3	5*	5	37	19	3	22	5.8	0	0*	5	-2	S(6) R(3)	2-24	0	5	1WR-C	E	10
HOA	"Clippard,T"	60	40	15	10.2	25.2	26.8	2.4	3*	0	35	18	7.3	25.3	19.7	2.6	4*	0	9	R(1) C(2)	3-48	0	20	1WR-C	E	10
TBA	"Cobb,A"	179	20	10	14	24	25.7	1.2	1	10	10	0	25.1	25.1	34.6	1.8	4	10	0	S(6)	1-24	2	10	1WR-D	E	10
WAN	"Cole,A"	52	17	21	19.9	41	37.4	4.4	8	0	21	14	9.3	23.3	16.6	0.6	0	1	4	S(6) R(4)	4- 0	6	8	1WR-D	E	10
PIN	"Cole,G"	203	26	3	17.9	20.9	34.6	3.4	5	5	25	7	13.4	20.5	23.5	1.8	3	6	3	S(6*)	2-14	0	7	6NR-A	E	10
TBA	"Colome,A"	67	26	10	14.4	24.5	18.6	0	0	6	22	0	18.5	18.5	26.5	0	0	6	-4	R(1) C(6)	3- 0	0	13	1WR-C	E	10
MNA	"Colon,B"	143	7	4	27.9	31.9	50.8	3.2	6	4	6	2	32	34	55.5	3	5	3	-2	S(5)	3-20	3	0	1WR-D	E	12
MMN	"Conley,A*"	103	6	0	23	23	51.4	6.5	8	7	13	13	23.9	36.8	39.7	3	5	8	-2	S(5) R(3)	4- 0	0	10	1WL-A	E	10
ARN	"Corbin,P*"	190	42	4	9.1	13.1	23.2	2.8	4	4	19	5	23.3	28.3	40.5	2	2	5	-3	S(6)	2- 0	0	11	1WL-A	E	14
OAA	"Cotton,J"	129	16	16	11.9	27.9	29.5	5.5	8	5	20	9	17.3	26.3	38.6	3.6	7	4	0	S(5)	4- 0	6	15	1WR-C	E	10
OAA	"Coulombe,D*"	52	14	12	9.3	21.3	13.8	0	0	9	19	12	18.5	30.5	42.1	1.8	3*	9	-4	R(1)	2-28	0	20	1WL-C	E	10
CHA	"Covey,D"	70	11	10	17	27	41.8	5.5	8	11	1	19	25.8	44.8	54.3	7	8	8	9	S(5) R(3)	3- 0	4	18	1WR-C	E	10
SFN	"Crick,K"	32	2	0	8.6	8.6	20.6	0	0	8	33	30	3	33	4.8	0	0*	8	-3	R(2)	2-44	0	20	1WL-C	E	10
SFN	"Cueto,J"	147	23	7	22.8	29.8	41.2	2	5	4	21	10	19.3	29.3	33.2	2.8	6	3	-1	S(6)	3- 0	3	5	1WR-D	E	13
LAN	"Darvish,Y"	187	37	7	13.9	20.9	28.4	3	5	5	36	8	8.3	16.3	17.8	1.6	2*	5	5	S(6)	4- 8	2	15	1WR-C	E	10
MLN	"Davies,Z"	191	16	8	19.5	27.5	32.7	2.2	1	8	4	2	27.7	29.7	33.2	0	0	8	-3	S(6*)	2- 0	0	1	1WR-A	E	14
CHN	"Davis,W"	59	51	14	4.3	18.3	7.3	0	0*	8	45	17	5.9	22.9	16.5	2.8	4*	6	2	R(1) C(6)	3- 0	0	20	1WR-C	E	10
ARN	"De La Rosa,J*"	51	31	4	8.4	12.4	16.1	0.2	0*	10	17	12	14.7	26.7	27.5	3.4	5	10	5	R(1)	3- 0	0	20	1WL-B	E	13
NYN	"deGrom,J"	201	33	6	13.5	19.5	22	1.8	2	7	41	5	10.1	15.1	20.8	3	5	5	1	S(6*)	3- 7	0	7	3NL-A	D	13
ARN	"Delgado,R"	63	31	0	8.7	8.7	20.6	2.2	4	6	23	7	21	28	34.5	0	0	6	3	S(5) R(3) C(0)	4- 0	0	3	1WR-B	E	10
MMN	"Despaigne,O"	58	2	12	26.4	38.4	33.9	0	0	3	5	10	11.6	21.6	15.4	0	0	3	0	S(6) R(3) C(0)	3- 0	0	3	1WR-D	E	10
HOA	"Devenski,C"	81	63	4	1.2	5.2	4.8	1.2	1*	6	29	10	13.8	23.8	35	3.2	5*	4	9	R(2) C(2)	5- 0	0	5	1WR-C	E	10
SEA	"Diaz,E"	66	49	19	3.4	22.4	10.6	2.4	4*	0	46	12	4.2	16.1	11.9	2.4	4*	0	9	R(1) C(6)	3-22	5	10	1WR-C	E	10
TBA	"Diaz,J"	30	31	5	27	32	56.2	8	8	0	18	17	18.2	35.2	32.4	0	0	0	6	R(1)	4- 0	0	20	1WR-C	E	10
SDN	"Diaz,M"	42	0	10	29.4	39.4	86.1	16.5	8	6	25	27	8.9	35.8	22.5	1.8	2*	7	-2	S(5) R(3)	3-34	9	20	1WR-B	E	10
ATN	"Dickey,R"	190	11	6	15.4	21.4	30.3	1.6	1	8	15	11	23.1	34.1	38.6	2.4	3	8	-5	S(6)	1-15	4	15	2WR-B	E	12
WAN	"Doolittle,S*"	51	45	2	0	2	0	0	0*	4	46	1	8.1	9.1	15.6	2.2	3	2	1	R(1) C(6)	4- 0	0	14	1WL-C	E	10
MLN	"Drake,O"	56	33	7	19.9	26.9	28.1	0.4	0	2	23	18	27.3	45.3	53.3	2.2	4	0	-3	R(1) C(0)	4- 0	7	11	1WR-C	E	10
CHN	"Duensing,B*"	62	26	2	22.5	24.5	33	0.8	2	7	28	8	15.6	23.6	22.1	1.6	1	8	2	R(2)	3- 0	0	7	1WL-C	E	10
MNA	"Duffey,T"	71	27	0	15.1	15.1	29.9	4.8	8	0	22	2	28.8	30.8	31.8	0	0	0	-1	R(2) C(0)	3-20	0	12	1WR-C	E	10
KCA	"Duffy,D*"	146	30	1	4.2	5.2	8.4	1.4	2	9	23	6	23	29.1	34.8	0.6	1	9	-5	S(6)	4- 0	6	2	3WL-C	E	10
OAA	"Dull,R"	42	26	20	19.8	39.8	32.4	2.2	4	1	36	5	5.2	10.1	16.5	3.6	6	7	2	R(1)	2- 0	0	20	1WR-C	E	10
CON	"Dunn,M*"	50	32	23	11.4	34.4	24.2	3.2	4	0	29	16	11.9	27.9	25.3	2.4	3*	0	2	R(1)	3- 0	0	17	1WL-C	E	10
SFN	"Dyson,S"	55	0	20	15	35	33.3	3.8	7	4	13	4	29.8	33.8	43	0.6	1	4	9	R(1) C(4)	5- 0	5	7	1WR-C	E	10
NYN	"Edgin,J*"	37	19	11	21.3	32.3	30.1	1.8	2	8	4	18	16.6	34.7	28.1	0	0	8	-3	R(1) C(0)	3- 0	10	5	1WR-C	E	10
CHN	"Edwards,C"	66	63	14	0	14	0	0	0*	1	43	29	2.5	31.5	9.3	2.3	2*	0	3	R(1)	3- 0	0	14	1WR-C	E	13
PHN	"Eflin,Z"	64	7	3	26	29	50.7	6.8	8	6	2	0	31.8	31.8	51	3.6	4	7	-5	S(5)	2-22	0	6	2WR-C	E	10
PHN	"Eickhoff,J"	128	20	10	28.2	38.2	47.2	2.6	3	0	25	11	17	28	23.3	0.4	0	0	4	S(6)	3-11	2	9	2WR-D	E	10
MMN	"Ellington,B"	45	20	36	13.4	49.3	27.5	1.2	3*	1	26	17	21.9	38.8	38.3	3	5	0	1	R(2)	3- 0	0	17	1WR-C	E	10
CON	"Estevez,C"	32	10	5	36.6	41.6	42.1	0	0	3	30	12	18.5	30.5	30.3	2.4	3	1	-3	R(2)	3- 0	12	6	1WR-C	E	10
TOA	"Estrada,M"	186	25	4	11.3	15.3	27.9	3.2	5*	0	23	16	20.9	36.9	39.3	2.2	4	0	-2	S(6)	3- 8	0	0	1WR-C	E	10
TBA	"Faria,J"	87	21	28	0.7	28.7	0.7	0	0	2	29	2	18.6	20.6	34.4	2.6	5	5	-3	S(6) R(3)	2- 0	0	16	1WR-C	E	10
DEA	"Farmer,B"	48	16	18	20.8	38.8	35.3	3	5	4	34	4	22.1	26.1	37.8	3	5	3	-6	S(5)	3- 0	0	3	1WL-C	E	10
CHA	"Farquhar,D"	49	31	18	3.8	21.8	3.8	0	0	2	21	16	17.7	33.7	25	0	0	1	-3	R(1) C(0)	3-28	0	17	1WR-C	E	10
CIN	"Feldman,S"	111	16	7	23.3	30.3	42.9	4.5	6	9	23	6	21.4	27.4	36.3	2.8	4	8	8	S(5)	3- 0	0	5	1WL-B	E	10
HOA	"Feliz,M"	48	38	8	24.9	32.8	50.5	0.8	1	0	32	15	20.2	35.2	41.1	3.4	5	0	-3	R(1)	3-30	0	20	1WR-C	E	10
KCA	"Feliz,N"	46	28	14	14.5	28.5	36.3	3.8	6*	10	10	16	11.1	27.1	29.5	3.6	6*	13	0	R(1) C(4)	2-31	0	4	1WR-C	E	10
LAN	"Fields,J"	57	27	5	11.8	16.8	36.3	6.8	8*	3	39	6	3.6	9.6	10.8	1.8	3*	2	-4	R(1) C(1)	3- 0	8	3	1WR-C	E	10
HOA	"Fiers,M"	153	22	14	16.7	30.7	31.7	3.6	5	9	23	9	20.9	29.9	35.6	3.6	7	4	6	S(5)	3-19	2	15	1WR-C	E	12
BOA	"Fister,D"	90	22	13	24.8	37.8	37.8	1.6	4	0	24	9	9.2	18.2	15.9	0	0	0	-3	S(5) R(3)	2-16	5	4	1WL-D	E	13
NYN	"Flexen,C"	48	7	31	14.1	45.2	28.1	2.6	4	3	11	18	30.8	48.8	54.4	5.8	8	4	1	S(5) R(3)	2- 0	0	3	2WR-C	E	10
ATN	"Foltynewicz,M"	154	20	10	26	36	41.3	2.4	2	0	25	9	17.1	26	29.1	1.6	1	0	-1	S(6)	4-10	0	5	1WR-B	E	10
CON	"Freeland,K*"	156	35	4	26.8	30.8	41.9	2	2	4	4	12	23.4	35.4	33.7	1.2	1	8	0	S(6) R(3)	2-28	5	0	6NL-D	E	12
ATN	"Freeman,S*"	60	31	5	7.2	12.1	7.2	0	0	10	24	19	12.1	31	12.7	0	0	8	-2	R(1)	3- 0	0	7	1WR-C	E	10
DEA	"Fulmer,M"	165	18	3	21.9	24.9	26.1	0	0	11	10	5	12.9	17.9	16.4	0.6	1	11	-3	S(7)	4- 8	2	3	1WR-D	E	10
SEA	"Gallardo,Y"	131	14	15	16.8	31.8	31.1	2.4	3	6	11	10	22	32	38	3.8	7	6	0	S(5) R(4) C(0)	4- 0	0	11	3WR-C	E	10
NYA	"Garcia,Jai*"	157	30	1	19.8	20.8	34	2.2	2	12	15	13	18.5	31.5	33.3	1.6	1	12	7	S(6)	2-18	6	11	6NL-B	E	13
MMN	"Garcia,Jar*"	53	20	4	11.3	15.3	22.1	2	3	0	13	12	21	33	35	1.6	2	0	-2	R(1)	3- 0	0	20	1WL-C	E	10
PHN	"Garcia,L"	71	10	5	24.5	29.5	28.9	0	0	10	31	9	5.3	14.4	5.3	0	0	10	2	R(2) C(1)	5- 0	0	20	1WR-C	E	10
CIN	"Garrett,A*"	71	23	15	24	39	53.2	9.8	8	2	17	17	15.4	32.4	45.3	8	8	3	1	S(5) R(3)	1-40	0	2	1WR-D	E	10
MLN	"Garza,M"	115	4	13	17.3	30.3	34.8	3.4	3	8	18	5	22.4	27.4	37.8	1.6	2	7	4	S(5) R(3)	4-26	0	7	1WR-D	E	12
BAA	"Gausman,K"	187	24	16	19	35	30	2.2	2	9	24	6	24.3	30.3	38.3	2.4	3	9	0	S(6*)	4- 8	2	9	1WL-C	E	10
KCA	"Gaviglio,S"	74	12	10	16.8	26.8	38.6	3.6	7	11	10	8	21.8	29.8	42	4.8	8	12	9	S(5) R(3)	4-19	9	2	1WR-D	E	10
SFN	"Gearrin,C"	68	8	23	6.8	29.8	12	0	0*	12	36	12	8.9	20.9	15.7	0	0	9	2	R(2)	3- 0	0	9	1WR-C	E	10
MNA	"Gee,D"	49	14	16	21.8	37.8	41.8	4.5	8	9	23	0	21.6	21.6	34.6	1.2	2	11	-3	S(5) R(3) C(0)	3- 0	0	0	1WR-C	E	10
MNA	"Gibson,K"	158	12	10	26.3	36.3	38.6	1	2	12	16	11	21.3	32.3	34.7	3.2	5	11	-6	S(5)	2- 0	0	5	1WR-C	E	10
HOA	"Giles,K"	63	48	11	8.1	19	11.3	0	0	5	50	9	9.8	18.7	16.3	0	0	3	0	R(1) C(6)	3-23	0	11	1WR-C	E	10
CHA	"Giolito,L"	45	16	1	5.3	6.3	19.6	4.8	8*	3	21	11	2.5	13.5	9.5	2	3*	3	-2	S(6)	2-31	0	10	1WR-C	E	10
BAA	"Givens,M"	79	32	12	4.6	16.6	11.2	2.2	3	7	40	6	8	14	16.7	1.6	2	8	4	R(2)	2- 0	0	5	1WR-C	E	10
PIN	"Glasnow,T"	62	18	24	22.5	46.5	49.5	3.6	5	0	14	18	24.1	42	43.7	3.4	6	0	9	S(5) R(4)	5-23	0	9	4WL-D	E	13
