TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
SFN	"Belt,B*"	382	26	14	14.3	29.3	31	2	4	2	8	26	25	13.8	39.8	34.6	4.2	8	2	5	6/- (13-6)	D	11	C	D		204				425			1b-2e4 lf-4(0)e25
HOA	"Beltran,C+"	467	36	1	10.6	12.6	18.5	0	w*	0	15	17	4	20.5	25.5	34.7	2.6	3	0	14	-/- (---)	E	9	D	C						503		503	lf-5(+2)e3 rf-5e3
TEA	"Beltre,A"	340	0	23	33.6	58.6	53.6	4	6	-1	14	7	10	26.6	38.7	42.7	3	5	-1	15	2/- (20-6)	E	8	D	C				113					3b-1e13
BOA	"Benintendi,A*"	573	14	21	13.6	36.6	18.5	1.5	w	10	17	14	9	23	34	34.8	2.5	6	10	19	"*4,6/- (18-12)"	A	15	D	C						206	306		lf-2(-2)e6 cf-3e6
BOA	"Betts,M"	628	0	17	24.2	42.2	41.9	2.5	3	12	7	1	12	17	30	32.5	2.3	3	12	8	"*4,5/- (19-12)"	A	17	D	C								105	rf-1(-4)e5
NYA	"Bird,G*"	147	23	12	9.6	24.5	27.8	4.4	5*	0	8	32	15	6.3	24.3	21.3	4.4	5*	0	7	-/- (---)	E	8	D	D		404							1b-4e4
CON	"Blackmon,C*"	644	9	7	33.4	43.4	54.7	2.7	5	2	1	22	8	28.9	39.9	53.8	4.4	8	2	2	"*2-5,10/11 (15-10)"	C	14	C	C							304		cf-3(0)e4
PHN	"Blanco,A+"	130	27	0	11.4	11.4	19.1	1.1	0	4	4	30	13	8.2	21.1	10.1	0.6	0	4	3	2/- (20-6)	E	12	D	C		324	425	334	405				2b-4e25 3b-3e34 1b-3e24 ss-4e5
ARN	"Blanco,G*"	224	26	0	17	17	18.8	0.6	0	-10	5	26	22	17.9	39.9	33.6	2	w	-7	3	"*4,6/- (19-13)"	A	15	D	D						209	209	309	cf-2(-1)e9 lf-2e9 rf-3e9
SDN	"Blash,J"	164	41	18	21.1	41.1	34.5	2.8	4	-8	10	49	26	3.6	31.6	4.8	0.4	0	-1	16	"2-5,12/7,9 (13-4)"	E	11	D	D						418		418	rf-4(-1)e18 lf-4e18
BOA	"Bogaerts,X"	571	13	13	25.5	40.5	40.2	3.3	w	2	19	16	8	23.2	33.2	42.8	3.3	w	2	20	*5/- (19-6)	B	16	D	D					319				ss-3e19
KCA	"Bonifacio,J"	384	35	1	19.7	21.7	34.5	3.3	6	-9	16	37	13	21.1	35.1	31.8	3	6	-13	16	4/12 (13-5)	E	12	D	C						407	407	407	rf-4(-1)e7 lf-4e7 cf-4e7
MMN	"Bour,J*"	377	37	14	19.3	34.3	43.8	8.2	8	4	18	22	10	27	38	51.2	6.4	8	4	19	2/- (20-6)	E	8	D	D		502							1b-5e2
TBA	"Bourjos,P"	188	30	6	23.4	30.4	40	1.4	2	-3	6	36	2	9.1	12.1	17.4	0.8	1	-2	7	"*2-9,12/10,11 (15-9)"	C	15	C	D						101	201	101	lf-1(-1)e1 cf-2e1 rf-1e1
BOA	"Bradley,J*"	482	20	12	23.5	39.5	33.1	1.5	3	1	12	28	7	15.7	26.7	26.4	2.3	5	0	11	*7/- (17-6)	C	15	D	D							105		cf-1(-2)e5
CLA	"Brantley,M*"	338	4	1	30.3	32.3	34.4	0.4	0	0	20	8	10	29.1	40.1	42.2	1.2	2	-3	18	*6/- (19-11)	B	14	D	C						302			lf-3(-2)e2
MLN	"Braun,R"	380	0	16	22	40	48.5	1.5	2*	0	24	19	9	23.4	34.4	40.8	3.5	5	-4	26	*2-5/- (17-12)	B	14	C	B						304			lf-3(0)e4
HOA	"Bregman,A"	556	6	11	33.7	47.7	53.3	3	5	-9	17	12	10	25.3	38.3	39.5	1.3	1	-10	18	"*5,6/- (17-12)"	B	15	D	D			441	213	227				3b-2e13 ss-2e27 2b-4e41
MLN	"Broxton,K"	414	50	19	11.4	33.5	26.3	2.8	5	-3	0	59	7	13.3	23.3	27.5	3.5	5	-3	0	*3-6/- (18-14)	A	15	C	D							210		cf-2(0)e10
CLA	"Bruce,J*"	555	29	8	15	24	32.8	4.4	8	-3	16	24	11	19.9	31.9	43.8	6.2	8	-3	15	3/12 (13-5)	E	12	D	D		430						305	rf-3(0)e5 1b-4e30
OAA	"Brugman,J*"	143	32	3	7.5	10.6	7.5	0	w	-1	3	27	15	25.6	40.5	27.8	0.8	0	0	2	"2-5,12/7,8 (13-4)"	D	12	C	D						308	308	308	cf-3(0)e8 lf-3e8 rf-3e8
CHN	"Bryant,K"	549	10	30	21	56	34.2	2.1	4	-3	5	20	19	23	47	41.7	3.2	6	-3	8	"4,5/12 (13-6)"	C	14	D	D		425		321		403	403	403	3b-3e21 rf-4(0)e3 1b-4e25 lf-4e3 cf-4e3
KCA	"Butera,D"	163	26	11	10.5	22.6	13.6	0.2	0	4	0	26	5	18.1	24.1	31.1	3.4	w	4	0	-/- (---)	E	9	D	D	201	425							c-2(0)e1,T-7(pb-6) 1b-4e25
MNA	"Buxton,B"	462	33	12	23.8	37.8	31.7	1.3	2	0	0	43	5	18.3	25.3	29.6	2	3	0	0	"*5,6/- (19-13)"	A	17	A	D							106		cf-1(-3)e6
NYN	"Cabrera,A+"	479	4	6	45.5	53.5	51.5	0.8	1	0	24	14	11	18.7	31.7	31.3	1.5	2	0	25	5/- (13-6)	D	11	D	C			404	425	440				2b-4e4 ss-4e40 3b-4e25
DEA	"Cabrera,Mi"	469	28	21	22.6	44.7	34.1	1.2	2	-5	18	20	9	18.5	28.5	27	2	3	-5	21	6/- (3-1)	E	8	D	C		402							1b-4e2
KCA	"Cabrera,Me+"	620	6	3	26.7	30.7	39.5	3.5	5	0	23	0	2	29.9	32.9	35.8	0.3	0	-1	25	4/10 (13-3)	E	12	D	B						402		402	lf-4(-2)e2 rf-4e2
KCA	"Cain,L"	584	6	10	23.8	35.8	40	2.3	4	-7	23	10	10	31.6	43.7	37.9	0.4	1	-7	18	*7/- (19-12)	A	17	D	D							108		cf-1(-1)e8
LAA	"Calhoun,K*"	569	17	15	14.9	33	25.4	1.8	3	4	11	23	12	19.4	34.4	27.6	2	2	4	12	3/- (17-6)	D	12	D	C								204	rf-2(-3)e4
ATN	"Camargo,J+"	241	20	0	38.1	38.1	61	1.4	1	3	18	22	0	28.3	28.3	48.5	2.5	w	3	18	-/- (---)	E	12	D	C			319	215	307	525			3b-2e15 ss-3e7 2b-3e19 lf-5(0)e25
DEA	"Candelario,J+"	127	28	0	26.5	29.5	42.6	0	w	3	19	22	12	26	41	35.8	1.2	1	2	16	-/- (---)	E	10	D	D		415		425					3b-4e25 1b-4e15
OAA	"Canha,M"	173	36	0	15.7	22.7	33.4	1	2*	0	21	42	0	12.2	19.2	25.7	1.6	2	0	21	3/- (20-6)	D	13	D	D		429				319	419	419	cf-4(+1)e19 rf-4e19 lf-3e19 1b-4e29
SEA	"Cano,R*"	592	12	4	15.1	21.1	18.3	1	2	2	22	3	5	32.3	39.3	50.5	3.3	5	2	21	2/- (20-6)	E	11	D	B			211						2b-2e11
SLN	"Carpenter,M*"	497	25	27	9	40	16.1	0.6	0	-2	2	18	27	13.1	44.2	27.9	3	6	-3	2	3/- (13-6)	E	10	B	C		411	456	426					1b-4e11 3b-4e26 2b-4e56
TOA	"Carrera,E*"	287	29	13	0	15	0	0	w*	0	8	26	10	32.4	44.4	39	1.5	2	-12	10	*6/- (19-11)	B	15	A	C						308	408	308	lf-3(+1)e8 rf-3e8 cf-4e8
NYA	"Carter,C"	184	60	0	9	11	29.3	6.3	8*	0	19	53	19	10.7	31.6	17	1.5	1	-5	10	-/- (---)	E	9	D	D		413						516	1b-4e13 rf-5(+3)e16
DEA	"Castellanos,N"	614	11	4	25	31	57.2	8.6	8	5	15	25	6	23.4	31.4	42	1.8	2	5	16	"4,6/9 (13-5)"	D	11	D	C				525				508	3b-5e25 rf-5(+1)e8
BAA	"Castillo,W"	341	35	0	36.2	36.2	53.4	5.4	8	-6	14	32	7	22.1	29.1	35.7	4.3	6	-5	23	-/- (---)	E	9	D	D	302								c-3(-3)e2,T-9(pb-1)
MNA	"Castro,J*"	356	17	6	17.6	25.6	30.5	2.2	4	2	21	40	17	16.3	35.3	25.3	0.8	1	2	19	-/- (---)	E	10	D	D	201								c-2(-2)e1,T-5(pb-1)
NYA	"Castro,S"	443	19	6	36.8	44.8	48.4	0.2	0	-11	15	18	1	31.4	34.4	39.5	2.5	4	-11	16	2/- (20-6)	E	12	D	C			317						2b-3e17
PIN	"Cervelli,F"	265	23	16	15.1	36.1	29	3	w	-1	16	20	14	19	38	25.8	0.2	0	-1	16	"2-6,12/- (3-1)"	E	10	D	C	404								c-4(+1)e4,T-8(pb-2)
NYN	"Cespedes,Y"	291	30	6	19.5	27.5	54.8	8.3	8	0	18	12	6	31.2	39.2	48.8	3.6	7	-8	18	"4,6/- (3-1)"	E	13	D	C						314			lf-3(-3)e14
OAA	"Chapman,M"	290	49	14	15.3	31.3	33.1	3.2	6	4	1	32	13	16.4	31.4	39	3.2	6*	0	2	"2-8,12/- (3-1)"	E	14	D	D				126					3b-1e26
TEA	"Chirinos,R"	263	22	18	29.3	55.3	52.9	7.2	8	-11	12	34	14	9.2	31.2	24.8	3.5	6	0	11	2/- (20-6)	E	10	D	D	307								c-3(0)e7,T-7(pb-1)
CLA	"Chisenhall,L*"	236	17	11	26.3	40.3	39.3	3	5	2	17	24	9	22.7	34.7	43.9	3.5	6	2	17	"5,6/10 (13-6)"	D	13	C	C		422				403	403	303	rf-3(-1)e3 cf-4e3 lf-4e3 1b-4e22
TEA	"Choo,S*"	544	11	22	23.4	48.4	30.3	1.3	w	2	18	26	16	15.6	34.6	25.8	3	5	2	19	*6/- (18-6)	B	12	B	D								409	rf-4(0)e9
DEA	"Collins,T*"	150	34	11	0	11	0	0	w*	0	8	48	14	10.2	24.2	17.9	2	2	-5	8	2-12/- (3-1)	E	14	D	D						308	408	308	cf-4(-1)e8 rf-3e8 lf-3e8
NYN	"Conforto,M*"	373	50	8	12.6	25.6	34.6	5.6	8*	0	3	27	19	23.3	47.3	47.5	6.6	8	1	2	2/- (20-6)	E	13	D	D						305	405	305	cf-4(+2)e5 lf-3e5 rf-3e5
CHN	"Contreras,W"	377	16	21	18.6	41.6	34.8	4	7	6	18	29	10	21.6	33.7	38.4	3.8	6	6	23	*3-6/11 (15-7)	C	11	C	D	307	416		437		425		425	c-3(-2)e7,T-15(pb-1) lf-4(0)e25 1b-4e16 3b-4e37 rf-4e25
SDN	"Cordoba,A"	202	48	1	5.8	10.8	8.5	0.9	1	-4	5	22	10	15.1	29.1	19.5	0.3	0	-7	4	4-6/9 (13-6)	D	14	C	D			471	465	436	310	410	310	lf-3(0)e10 ss-4e36 cf-4e10 3b-4e65 rf-3e10 2b-4e71
HOA	"Correa,C"	422	3	12	36.6	49.6	52	3.6	6	-7	19	23	14	28.9	43.8	47	3.8	7	-7	14	4/- (13-6)	E	13	D	C					214				ss-2e14
LAA	"Cowart,K+"	102	54	1	6.1	13.1	6.1	0	w	-5	27	25	8	17	31	31.9	1.8	3	-1	25	"*2-8,10/- (15-13)"	B	14	C	D			313	208					2b-3e13 3b-2e8
CIN	"Cozart,Z"	438	7	18	31.5	51.5	58.9	4.4	7	-4	4	8	19	22.9	43.9	41.8	3.4	6	-3	4	2/- (20-6)	D	13	D	C					116				ss-1e16
SFN	"Crawford,B*"	518	9	9	18.8	27.8	28.9	0.8	2	6	24	25	4	21.5	25.5	32.6	1.3	3	6	25	"4,5/8 (13-4)"	D	13	D	C					114				ss-1e14
LAA	"Cron,C"	339	39	4	14.8	22.8	39.9	6.7	8	-3	11	30	5	21.2	30.2	30.9	2.3	4	-4	8	"4,5/12 (13-6)"	D	11	D	C		307							1b-3e7
SEA	"Cruz,N"	556	24	28	17.1	49.1	28.5	3.8	7	5	12	24	8	24.8	36.8	51.3	6.8	8	5	16	3/- (13-5)	E	10	D	D								504	rf-5(-2)e4
KCA	"Cuthbert,C"	143	32	6	13	19	19.6	0.2	0	6	9	31	4	19.4	23.4	29.2	2.2	w	6	10	-/- (---)	E	11	D	D		430	471	426					3b-4e26 1b-4e30 2b-4e71
NYN	"d'Arnaud,T"	348	16	9	29.6	39.7	51.5	2	3	4	23	7	2	15.5	18.5	30.7	4	6	4	26	-/- (---)	E	11	D	C	401		571	565					c-4(+2)e1,T-7(pb-0) 2b-5e71 3b-5e65
CHA	"Davidson,M"	414	56	3	19.9	25.9	35.7	2.8	5	-6	12	56	1	11.1	15.1	30.9	6.2	8	-1	16	"4,6/- (3-1)"	E	10	D	D		330		415					3b-4e15 1b-3e30
BAA	"Davis,C*"	456	61	13	12.5	26.5	19.8	1.9	2	-1	10	55	15	9.6	25.5	27.6	5.4	8	-1	9	3/12 (13-5)	E	12	D	D		209		450					1b-2e9 3b-4e50
OAA	"Davis,K"	566	41	24	9.3	35.3	26.3	4	7*	0	14	40	13	19.4	34.4	50.4	8.9	8	-4	11	2/- (20-6)	D	12	D	D						301			lf-3(+3)e1
BOA	"Davis,R"	336	21	7	20	28	38.8	3.4	w	-5	25	28	7	18.1	26.1	33.3	2.8	w	-2	25	"*2-6,12/- (19-15)"	A	17	D	D						206	306	306	cf-3(0)e6 lf-2e6 rf-3e6
SLN	"DeJong,P"	417	48	8	24.9	35	60.7	8.3	8	0	8	33	0	28.1	30.1	50.9	5.2	8	-10	15	2/- (20-6)	E	12	D	D			428		317				ss-3e17 2b-4e28
CHA	"Delmonico,N*"	141	22	21	17.7	41.7	33.4	4.8	8	-7	18	15	21	17.9	41.9	29.9	4	7	-10	20	3/- (20-6)	D	12	D	C		425				406			lf-4(+1)e6 1b-4e25
ARN	"Descalso,D*"	344	27	20	4.9	26.8	12.6	1.5	1*	0	9	25	15	16.7	33.7	30.4	1.6	1	3	10	2/- (20-6)	C	13	D	D		425	330	439	417	412			2b-3e30 lf-4(+1)e12 1b-4e25 3b-4e39 ss-4e17
TEA	"DeShields Jr.,D"	376	41	16	16.8	34.8	25.6	1.5	2	-5	0	26	13	25.1	40.2	32	1.5	w	-9	0	"*2-5,10/- (19-14)"	A	17	A	D						303	403		lf-3(+2)e3 cf-4e3
CON	"Desmond,I"	339	27	2	24.6	28.6	29.7	0.8	0	5	27	25	7	24.6	33.6	27	0.5	0	5	26	"*5,6/- (19-13)"	A	16	D	D		408			432	308	408		lf-3(-1)e8 1b-4e8 cf-4e8 ss-4e32
BOA	"Devers,R*"	222	44	5	35.5	40.5	56.2	3.8	7	-3	9	24	4	24.5	28.5	42.6	3.8	8	-3	21	6/- (15-6)	C	13	D	D				441					3b-4e41
SLN	"Diaz,A"	286	14	0	20.4	20.4	26	0	w	-8	24	3	0	26	26	37.6	1.5	3	-8	24	6/- (16-6)	C	13	C	C			426	416	414	525			ss-4e14 3b-4e16 lf-5(+2)e25 2b-4e26
PIN	"Diaz,E"	188	12	0	22.4	22.4	39.3	0	w	6	32	17	6	13.5	19.5	25.2	1.4	w	6	30	2/- (20-6)	E	10	D	D	203								c-2(-2)e3,T-15(pb-2)
CLA	"Diaz,Y"	156	15	31	17.3	49.3	21	0	w	-5	16	22	8	22.9	31.9	30.3	0	w	-6	22	2/- (20-6)	D	12	D	D				410		425			3b-4e10 lf-4(+2)e25
TBA	"Dickerson,C*"	588	31	0	38.3	39.3	59.7	1	1	-12	13	28	1	26.5	28.5	44.8	4.6	8	-11	15	"5,6/12 (13-7)"	D	13	D	D						402			lf-4(+2)e2
MMN	"Dietrich,D*"	406	19	7	27.9	43.9	41.7	0	w	0	4	24	4	16.9	29.9	30.9	2.4	4	0	4	7/- (3-1)	E	12	D	C		408	410	416		408			3b-4e16 2b-4e10 1b-4e8 lf-4(+2)e8
WAN	"Difo,W+"	332	19	0	28	29	42.4	2	3	-16	19	25	1	27.1	29.1	35.6	1.8	w	-10	17	*6/- (19-11)	B	16	B	C			311	337	318	525	525	525	ss-3e18 2b-3e11 3b-3e37 rf-5(-1)e25 lf-5e25 cf-5e25
TOA	"Donaldson,J"	415	22	21	20.1	43.2	66.3	14.4	8*	0	5	24	26	16.1	44.2	36.2	5.4	8	7	4	6/12 (13-5)	E	12	C	D				222	448				3b-2e22 ss-4e48
MNA	"Dozier,B"	617	19	14	29.1	46	56.9	6.4	8	-7	12	19	14	17.3	34.3	30.5	3	5	-7	8	*2-5/- (16-11)	B	16	C	D			105						2b-1e5
ARN	"Drury,B"	445	29	0	25.8	27.8	43	1	0	0	16	18	6	22.7	30.7	39.3	1.8	2	0	16	4/12 (13-5)	E	12	D	C			415	465					2b-4e15 3b-4e65
TBA	"Duda,L*"	423	50	7	9.5	19.5	27.8	4.4	7*	0	15	32	17	12.8	32.8	39.9	7.3	8*	0	13	-/- (---)	E	8	D	D		407							1b-4e7
CIN	"Duvall,A"	587	25	9	22.4	34.3	50.7	6.2	8	-4	13	35	3	18.4	24.4	37.2	3.5	5	-5	13	"4,6/- (13-6)"	D	12	D	D		410				207			lf-2(-2)e7 1b-4e10
SEA	"Dyson,J*"	346	0	6	3.3	15.3	3.3	0	w	-1	4	10	5	26	37	41.7	3.3	w	-6	4	*3-6/- (19-15)	A	17	B	C						105	105		cf-1(-2)e5 lf-1e5
MMN	"Ellis,A"	143	31	1	9.9	19.9	17.3	1.1	1	0	27	8	10	11.4	30.4	21.5	3.3	6	0	24	-/- (---)	E	9	D	C	301								c-3(-2)e1,T-1(pb-2)
NYA	"Ellsbury,J*"	356	32	6	22.4	31.3	29.4	1.3	0	-8	15	2	13	25.5	41.5	47.9	3.8	w	-8	13	"*5,6/- (19-13)"	A	16	C	C							205		cf-2(+1)e5
CLA	"Encarnacion,E"	554	26	29	11.8	42.8	22.9	3.5	6	-6	14	17	22	15.4	39.4	35.5	5.9	8	-5	15	2/- (20-6)	E	10	D	C		407							1b-4e7
CHA	"Engel,A"	301	34	5	12.8	22.8	33.6	2.3	w*	0	0	59	4	4.4	13.4	9.1	0.9	0*	0	0	"*4,5/- (19-12)"	B	15	B	D							104		cf-1(0)e4
KCA	"Escobar,A"	599	11	0	25.4	27.4	45.6	1.5	w	12	18	11	0	20.2	22.2	34.1	2.3	w	12	18	"2-6,11/7,9,10 (13-4)"	D	14	A	C					116				ss-1e16
MNA	"Escobar,E+"	457	16	5	18.9	25.9	27.1	2.8	4	4	6	22	3	19.2	24.2	36.9	3.3	6	4	6	4/- (17-6)	C	14	D	D	516		313	313	421	506			"3b-3e13 ss-4e21 2b-3e13 c-5(+3)e16,T-20(pb-20) lf-5(+1)e6"
LAA	"Escobar,Y"	350	5	6	36.8	43.8	50.8	2	w	5	29	5	9	21.5	31.5	28.7	0.8	0	5	28	7/8-10 (13-1)	E	10	D	C				423					3b-4e23
TBA	"Espinosa,D+"	266	57	4	7.8	15.8	19.7	2	w*	0	3	57	6	6.2	16.1	9.6	1.1	2	-3	4	"*2-7,11/8,9,12 (15-7)"	D	12	C	D		330	208	326	388				2b-2e8 ss-3e88 1b-3e30 3b-3e26
HOA	"Fisher,D*"	146	47	12	16.1	32.2	27.8	0	w	6	2	48	11	10.1	25.1	17.7	2.2	4	6	1	"*3-8/9,10 (15-8)"	C	14	D	D						304	404	404	lf-3(+1)e4 rf-4e4 cf-4e4
NYN	"Flores,W"	336	15	0	28.6	30.6	55.2	6.8	8	-6	31	5	5	22.8	29.8	37.2	3.3	6	-4	29	5/12 (13-5)	E	10	D	C		405	416	427					3b-4e27 1b-4e5 2b-4e16
ATN	"Flowers,T"	317	12	26	19.7	57.7	32	2.8	w	-9	8	25	6	23.7	41.7	35.3	2.5	3	-10	12	"4,5/- (3-1)"	E	9	D	D	302								c-3(+2)e2,T-8(pb-4)
LAN	"Forsythe,L"	361	30	28	22.3	52.3	33.2	0.4	0	1	12	30	24	6.8	32.8	14.4	2.2	w	0	18	6/- (13-6)	D	14	D	C		425	208	314	448	416			2b-2e8 3b-3e14 1b-4e25 ss-4e48 lf-4(+2)e16
